sample_id,path,sha256,size_bytes
above,images/above.png,81f7ece97ae5ee6f9c1fd62d944055b974b879acda9877c349c8602ecaf4f755,182
blank,images/blank.png,aad41d63c53ae6a1cbf068e24c420ddaefeb6182bf2a222ff9b7a94d78c44df2,157
border,images/border.png,3a3c3e0d040f5fb7007a43a46a8fdda1d124fd455462d4615cf05c971b58b6c5,192
diagonal,images/diagonal.png,11fa9431c0af2fc5a75f997c7f2a8aded8456eed37cdc176acb4182d33ebe6df,263
equality,images/equality.png,c509ef0c3b428f5c592021a79c051dd4f82db5ab517dfb9e6a3cc08386b0aa67,182
full,images/full.png,825f11dae2fc70a39d42d7a1db9e2631ef3deb477c5c70a3973e0fac6cdc080a,182
gradient,images/gradient.png,c462ec1485dc9950578495be6915ee7f259fb61cc8416a88618e1b3415a2d3b5,183
noise,images/noise.png,5d61afba29844a00bbf5fb86eaba96b806ee13eea29c3b2e4b0dc5e0576e9f14,475
small,images/small.png,ff57c7eaad5ac0878109ac66db7ac065f9db69f516ee6947db85ff0b905fb5f7,164
square,images/square.png,eae98a2ff4555b279b161f0369af9f9d41438228f6f8b6e307d80916b9992d9b,209
touching,images/touching.png,e309a75224d9867fe727a2daeea60886a23c212444b26c70f5b96f65b324782f,238
two,images/two.png,45b86829ac62728b614de18e98c0b8e8c805116c4186a183cd0e31eaae8640a4,257
