task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	7a/1278fd	15162	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789694137020	1789694137305	1789694149838	12818	11434	31.5	60559360	1	1073741824	1800000	1	/scratch/bbbc039-run-9/work/7a/1278fd284172785f56327d64820922
6	74/0d6e41	15807	ANALYZE_BATCH (batch-000004)	ANALYZE_BATCH	batch-000004	COMPLETED	0	1789694151147	1789694151250	1789694157686	6539	5617	57.1	72208384	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/74/0d6e41e10958b4db4833f18e527c88
13	12/31649c	15827	ANALYZE_BATCH (batch-000011)	ANALYZE_BATCH	batch-000011	COMPLETED	0	1789694151222	1789694151258	1789694157902	6680	5425	58.1	72474624	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/12/31649c4bdb10fd8a1866c145330d14
12	0c/2e1b50	16614	ANALYZE_BATCH (batch-000010)	ANALYZE_BATCH	batch-000010	COMPLETED	0	1789694158095	1789694158103	1789694162596	4501	3769	46.0	71696384	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/0c/2e1b5079aba3d0910ed152d9800b09
8	be/4c951c	16796	ANALYZE_BATCH (batch-000006)	ANALYZE_BATCH	batch-000006	COMPLETED	0	1789694159094	1789694159108	1789694164289	5195	4487	50.1	71708672	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/be/4c951ca4a049f0c27299731695070c
3	a8/bb5854	17243	ANALYZE_BATCH (batch-000001)	ANALYZE_BATCH	batch-000001	COMPLETED	0	1789694163114	1789694163201	1789694170143	7029	5797	56.3	72278016	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/a8/bb58541716b90a465cdfe56b8c939c
10	29/4da957	17488	ANALYZE_BATCH (batch-000008)	ANALYZE_BATCH	batch-000008	COMPLETED	0	1789694165222	1789694165265	1789694171267	6045	5110	48.6	72646656	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/29/4da95737f8342cd8806a061c5e0c0c
14	dd/1ff471	18091	ANALYZE_BATCH (batch-000012)	ANALYZE_BATCH	batch-000012	COMPLETED	0	1789694171128	1789694171154	1789694186576	15448	12355	81.2	71286784	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/dd/1ff4719a9c4b1b9d53375e7b74f4d5
7	17/51f972	18179	ANALYZE_BATCH (batch-000005)	ANALYZE_BATCH	batch-000005	COMPLETED	0	1789694172180	1789694172214	1789694188959	16779	13464	78.7	72331264	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/17/51f9720baf11e70462ac7c4768be8e
5	52/2ecba3	19215	ANALYZE_BATCH (batch-000003)	ANALYZE_BATCH	batch-000003	COMPLETED	0	1789694187112	1789694187179	1789694194249	7137	5788	61.8	72097792	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/52/2ecba3c513ec63f176c67057a2e4a0
9	65/757f3f	19461	ANALYZE_BATCH (batch-000007)	ANALYZE_BATCH	batch-000007	COMPLETED	0	1789694189128	1789694189195	1789694195956	6828	5268	61.7	72257536	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/65/757f3f9cce95052b1f9ca51fd87baf
2	81/a0fd7d	20014	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789694195082	1789694195153	1789694199986	4904	4432	55.2	71708672	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/81/a0fd7dd5a1b69a24a1302690e0447e
11	e2/490e21	20259	ANALYZE_BATCH (batch-000009)	ANALYZE_BATCH	batch-000009	COMPLETED	0	1789694196083	1789694196157	1789694201257	5174	4690	58.4	71745536	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/e2/490e217abf95767418b429e2a4a612
4	18/1d025c	20711	ANALYZE_BATCH (batch-000002)	ANALYZE_BATCH	batch-000002	COMPLETED	0	1789694200091	1789694200187	1789694203779	3688	3065	43.3	71868416	1	2147483648	600000	1	/scratch/bbbc039-run-9/work/18/1d025c476bc1dad4c667f5a2086c1a
15	93/a81c1b	21075	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789694203828	1789694203880	1789694205397	1569	1108	52.5	10190848	1	2147483648	900000	1	/scratch/bbbc039-run-9/work/93/a81c1b18fe4afc6b7eba0c887f10d9
16	3c/26231d	21296	REPORT	REPORT	-	COMPLETED	0	1789694205492	1789694205497	1789694208450	2958	2526	64.9	81989632	1	1073741824	300000	1	/scratch/bbbc039-run-9/work/3c/26231dc1232bdad6b40b906e4996de
