51|COMPLETED|0:0|3|1|1048576K||00:02.151|51|30
51.batch|COMPLETED|0:0|3|1||150484K|00:02.151|51.batch|
53|COMPLETED|0:0|4|1|2097152K||00:03.459|53|10
53.batch|COMPLETED|0:0|4|1||210312K|00:03.459|53.batch|
52_0|COMPLETED|0:0|13|1|2097152K||00:13.555|54|10
52_0.batch|COMPLETED|0:0|13|1||222620K|00:13.555|54.batch|
52_1|COMPLETED|0:0|15|1|2097152K||00:14.918|55|10
52_1.batch|COMPLETED|0:0|15|1||240004K|00:14.918|55.batch|
52_2|COMPLETED|0:0|10|1|2097152K||00:09.348|56|10
52_2.batch|COMPLETED|0:0|10|1||269132K|00:09.348|56.batch|
52_3|COMPLETED|0:0|8|1|2097152K||00:07.655|52|10
52_3.batch|COMPLETED|0:0|8|1||240096K|00:07.655|52.batch|
57|COMPLETED|0:0|0|1|2097152K||00:00.799|57|15
57.batch|COMPLETED|0:0|0|1||3700K|00:00.799|57.batch|
58|COMPLETED|0:0|0|1|1048576K||00:00.765|58|5
58.batch|COMPLETED|0:0|0|1||3584K|00:00.765|58.batch|
