task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	29/da9115	167	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789417608195	1789417611788	1789417611794	3599	1744	53.2	59260928	1	1073741824	1800000	1	/scratch/scale-256-candidate-5/work/29/da911533e622543a464cc3d176afa4
7	9b/562dc4	168_1	ANALYZE_BATCH (batch-000005)	ANALYZE_BATCH	batch-000005	COMPLETED	0	1789417612446	1789417616810	1789417621791	9345	4819	28.7	65064960	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/9b/562dc494179abd5b1ca475afbddf7c
10	4d/e56361	168_0	ANALYZE_BATCH (batch-000008)	ANALYZE_BATCH	batch-000008	COMPLETED	0	1789417612446	1789417616788	1789417621788	9342	4474	27.8	65658880	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/4d/e56361a4c57c27d01df93b3608c64f
8	a9/74723a	168_2	ANALYZE_BATCH (batch-000006)	ANALYZE_BATCH	batch-000006	COMPLETED	0	1789417612446	1789417621794	1789417626790	14344	4777	24.4	65257472	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/a9/74723a705ddf755f5faff699701210
6	9b/f548b4	168_3	ANALYZE_BATCH (batch-000004)	ANALYZE_BATCH	batch-000004	COMPLETED	0	1789417612446	1789417621797	1789417626793	14347	4791	24.6	65802240	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/9b/f548b4c6aa2cf23ef1b939192cabdd
5	e8/cf25d6	171_0	ANALYZE_BATCH (batch-000003)	ANALYZE_BATCH	batch-000003	COMPLETED	0	1789417612575	1789417626795	1789417636788	24213	6025	26.0	65351680	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/e8/cf25d699e28f3322ec5a4c9fd89dac
11	31/ee99c7	171_1	ANALYZE_BATCH (batch-000009)	ANALYZE_BATCH	batch-000009	COMPLETED	0	1789417612575	1789417626804	1789417636790	24215	6011	27.9	65253376	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/31/ee99c7311902facf75e846d87981ae
9	2f/d2c55a	171_2	ANALYZE_BATCH (batch-000007)	ANALYZE_BATCH	batch-000007	COMPLETED	0	1789417612575	1789417636792	1789417641789	29214	4566	26.0	65388544	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/2f/d2c55ad964b03194f9403782641ba1
13	23/3d59e9	171_3	ANALYZE_BATCH (batch-000011)	ANALYZE_BATCH	batch-000011	COMPLETED	0	1789417612575	1789417636797	1789417641792	29217	4529	25.7	65167360	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/23/3d59e9e26981ddfa98fa5668c848de
15	2b/a8e0e8	175_1	ANALYZE_BATCH (batch-000013)	ANALYZE_BATCH	batch-000013	COMPLETED	0	1789417627424	1789417641798	1789417646792	19368	4449	21.8	65376256	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/2b/a8e0e82f865de2ad4ded7bf080dffd
2	57/9e3d9f	175_0	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789417627424	1789417641794	1789417646789	19365	4580	23.1	65425408	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/57/9e3d9fb895f0000ba0ec428584268f
16	91/2f78e4	175_2	ANALYZE_BATCH (batch-000014)	ANALYZE_BATCH	batch-000014	COMPLETED	0	1789417627424	1789417646793	1789417656791	29367	6185	25.9	65228800	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/91/2f78e4d289919c3c9b11e47a27d4cc
17	fb/ab36e9	175_3	ANALYZE_BATCH (batch-000015)	ANALYZE_BATCH	batch-000015	COMPLETED	0	1789417627424	1789417646796	1789417656793	29369	6524	24.8	65675264	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/fb/ab36e9822326043f7f8b8b52b25b29
12	21/97ac02	179_0	ANALYZE_BATCH (batch-000010)	ANALYZE_BATCH	batch-000010	COMPLETED	0	1789417642415	1789417656794	1789417661791	19376	4751	24.1	65679360	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/21/97ac02cd2e82c2b86a1cab5de854ea
3	a3/8cad41	179_1	ANALYZE_BATCH (batch-000001)	ANALYZE_BATCH	batch-000001	COMPLETED	0	1789417642415	1789417656796	1789417661794	19379	4723	24.0	65458176	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/a3/8cad4193b8000519ffac056a872265
4	ad/d95e1b	179_2	ANALYZE_BATCH (batch-000002)	ANALYZE_BATCH	batch-000002	COMPLETED	0	1789417642415	1789417661795	1789417671790	29375	10802	23.7	65359872	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/ad/d95e1b463ca60aacf699702d98ae33
14	60/8800af	179_3	ANALYZE_BATCH (batch-000012)	ANALYZE_BATCH	batch-000012	COMPLETED	0	1789417642415	1789417661798	1789417671792	29377	10725	24.3	65114112	1	2147483648	600000	1	/scratch/scale-256-candidate-5/work/60/8800afc6bc88c0e672f5603a73f058
18	ac/cc5dbc	184	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789417671904	1789417676791	1789417676792	4888	1915	45.6	57368576	1	2147483648	900000	1	/scratch/scale-256-candidate-5/work/ac/cc5dbcbd6d92846550005b2ca3e80d
19	04/287159	185	REPORT	REPORT	-	COMPLETED	0	1789417676844	1789417681792	1789417681794	4950	1948	41.4	52887552	1	1073741824	300000	1	/scratch/scale-256-candidate-5/work/04/287159f7f32ce53b287cc6f1d1b179
