32|COMPLETED|0:0|23|1|1048576K||00:18.431|32|30
32.batch|COMPLETED|0:0|23|1||147100K|00:18.431|32.batch|
33_0|COMPLETED|0:0|42|1|524288K||00:37.562|35|10
33_0.batch|COMPLETED|0:0|42|1||180348K|00:37.562|35.batch|
33_1|COMPLETED|0:0|29|1|524288K||00:28.181|36|10
33_1.batch|COMPLETED|0:0|29|1||181696K|00:28.181|36.batch|
33_2|COMPLETED|0:0|29|1|524288K||00:28.703|37|10
33_2.batch|COMPLETED|0:0|29|1||180468K|00:28.703|37.batch|
33_3|COMPLETED|0:0|42|1|524288K||00:39.153|33|10
33_3.batch|COMPLETED|0:0|42|1||180448K|00:39.153|33.batch|
34_0|COMPLETED|0:0|20|1|524288K||00:18.909|38|10
34_0.batch|COMPLETED|0:0|20|1||184536K|00:18.909|38.batch|
34_1|COMPLETED|0:0|19|1|524288K||00:18.840|39|10
34_1.batch|COMPLETED|0:0|19|1||179936K|00:18.840|39.batch|
34_2|COMPLETED|0:0|19|1|524288K||00:17.354|40|10
34_2.batch|COMPLETED|0:0|19|1||181988K|00:17.354|40.batch|
34_3|COMPLETED|0:0|18|1|524288K||00:17.301|34|10
34_3.batch|COMPLETED|0:0|18|1||183048K|00:17.301|34.batch|
41_0|COMPLETED|0:0|15|1|524288K||00:13.535|42|10
41_0.batch|COMPLETED|0:0|15|1||178820K|00:13.535|42.batch|
41_1|COMPLETED|0:0|15|1|524288K||00:13.766|43|10
41_1.batch|COMPLETED|0:0|15|1||174096K|00:13.766|43.batch|
41_2|COMPLETED|0:0|14|1|524288K||00:12.428|44|10
41_2.batch|COMPLETED|0:0|14|1||185044K|00:12.428|44.batch|
41_3|COMPLETED|0:0|17|1|524288K||00:16.341|41|10
41_3.batch|COMPLETED|0:0|17|1||178848K|00:16.341|41.batch|
45_0|COMPLETED|0:0|15|1|524288K||00:13.653|46|10
45_0.batch|COMPLETED|0:0|15|1||180492K|00:13.653|46.batch|
45_1|COMPLETED|0:0|15|1|524288K||00:13.914|47|10
45_1.batch|COMPLETED|0:0|15|1||182728K|00:13.914|47.batch|
45_2|COMPLETED|0:0|16|1|524288K||00:14.381|48|10
45_2.batch|COMPLETED|0:0|16|1||174712K|00:14.381|48.batch|
45_3|COMPLETED|0:0|11|1|524288K||00:10.003|45|10
45_3.batch|COMPLETED|0:0|11|1||179400K|00:10.003|45.batch|
49|COMPLETED|0:0|5|1|2097152K||00:04.124|49|15
49.batch|COMPLETED|0:0|5|1||148584K|00:04.124|49.batch|
50|COMPLETED|0:0|5|1|1048576K||00:03.932|50|5
50.batch|COMPLETED|0:0|5|1||148152K|00:03.932|50.batch|
