task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	16/e5c192	32	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789252134212	1789252136455	1789252159777	25565	16523	60.7	59854848	1	1073741824	1800000	1	/scratch/scale-256-work/16/e5c192dec1c52a0dc57319d4e7dbe8
5	35/1cd183	33_1	ANALYZE_BATCH (batch-000003)	ANALYZE_BATCH	batch-000003	COMPLETED	0	1789252161677	1789252164782	1789252194780	33103	26366	35.3	65220608	1	536870912	600000	1	/scratch/scale-256-work/35/1cd18371a00b6248f8766918e754a2
11	d4/59ac56	33_2	ANALYZE_BATCH (batch-000009)	ANALYZE_BATCH	batch-000009	COMPLETED	0	1789252161677	1789252164797	1789252194783	33106	27101	33.4	65212416	1	536870912	600000	1	/scratch/scale-256-work/d4/59ac565afd505d5085bcc8ad082465
10	28/8cf27c	33_3	ANALYZE_BATCH (batch-000008)	ANALYZE_BATCH	batch-000008	COMPLETED	0	1789252161677	1789252164802	1789252204793	43116	39482	29.3	65359872	1	536870912	600000	1	/scratch/scale-256-work/28/8cf27c879513524ee8744115dd6ee6
13	ed/108923	33_0	ANALYZE_BATCH (batch-000011)	ANALYZE_BATCH	batch-000011	COMPLETED	0	1789252161677	1789252164774	1789252204788	43111	38824	28.8	65093632	1	536870912	600000	1	/scratch/scale-256-work/ed/10892369cdff79fabba3c6fad77c7f
8	07/0f6236	34_1	ANALYZE_BATCH (batch-000006)	ANALYZE_BATCH	batch-000006	COMPLETED	0	1789252161743	1789252194790	1789252214793	53050	12204	28.2	65589248	1	536870912	600000	1	/scratch/scale-256-work/07/0f6236c8a6bcabfcf506b649eb17ae
14	2c/281db0	34_0	ANALYZE_BATCH (batch-000012)	ANALYZE_BATCH	batch-000012	COMPLETED	0	1789252161743	1789252194786	1789252214789	53046	12211	30.1	65335296	1	536870912	600000	1	/scratch/scale-256-work/2c/281db07a35c57a8edd0665386f2480
9	03/5abc88	34_2	ANALYZE_BATCH (batch-000007)	ANALYZE_BATCH	batch-000007	COMPLETED	0	1789252161743	1789252204796	1789252224791	63048	14773	27.2	65748992	1	536870912	600000	1	/scratch/scale-256-work/03/5abc88a7f588fffcfe4d8a3e008a24
16	8a/918e75	34_3	ANALYZE_BATCH (batch-000014)	ANALYZE_BATCH	batch-000014	COMPLETED	0	1789252161744	1789252209789	1789252224794	63050	15158	29.8	64950272	1	536870912	600000	1	/scratch/scale-256-work/8a/918e75836d71270cd7056432d6b278
12	1e/dda699	41_1	ANALYZE_BATCH (batch-000010)	ANALYZE_BATCH	batch-000010	COMPLETED	0	1789252205541	1789252214810	1789252229816	24275	11510	29.1	65560576	1	536870912	600000	1	/scratch/scale-256-work/1e/dda69931aa944cbe464096af357d03
4	6d/38fe96	41_0	ANALYZE_BATCH (batch-000002)	ANALYZE_BATCH	batch-000002	COMPLETED	0	1789252205541	1789252214804	1789252229813	24272	11006	28.8	65126400	1	536870912	600000	1	/scratch/scale-256-work/6d/38fe96b820c4a243082cb230c2c8e5
6	4f/9d0998	41_2	ANALYZE_BATCH (batch-000004)	ANALYZE_BATCH	batch-000004	COMPLETED	0	1789252205541	1789252224798	1789252239814	34273	11619	26.5	65261568	1	536870912	600000	1	/scratch/scale-256-work/4f/9d0998ab9c0c6ec186aed222675188
15	fb/0b8138	45_0	ANALYZE_BATCH (batch-000013)	ANALYZE_BATCH	batch-000013	COMPLETED	0	1789252225538	1789252229830	1789252244818	19280	12882	27.1	65425408	1	536870912	600000	1	/scratch/scale-256-work/fb/0b81384ac873fe07a4b5b163fe8a65
2	12/01580a	41_3	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789252205541	1789252229823	1789252244815	39274	13513	27.6	65081344	1	536870912	600000	1	/scratch/scale-256-work/12/01580a33c4c48d25971588220c155e
3	68/033fe4	45_1	ANALYZE_BATCH (batch-000001)	ANALYZE_BATCH	batch-000001	COMPLETED	0	1789252225538	1789252229833	1789252244820	19282	12841	26.1	65486848	1	536870912	600000	1	/scratch/scale-256-work/68/033fe460a3db2eed83fec74c422eea
17	8d/09dc77	45_3	ANALYZE_BATCH (batch-000015)	ANALYZE_BATCH	batch-000015	COMPLETED	0	1789252225541	1789252244822	1789252254818	29277	8477	24.3	65257472	1	536870912	600000	1	/scratch/scale-256-work/8d/09dc779f89a02043b0f9d6313fa8d1
7	15/8e477a	45_2	ANALYZE_BATCH (batch-000005)	ANALYZE_BATCH	batch-000005	COMPLETED	0	1789252225541	1789252239819	1789252254816	29275	11683	26.5	65163264	1	536870912	600000	1	/scratch/scale-256-work/15/8e477afbab0285a6ec7f17883cdd96
18	4e/5b2b28	49	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789252255100	1789252259812	1789252264813	9713	3535	43.3	58531840	1	2147483648	900000	1	/scratch/scale-256-work/4e/5b2b286953c6c111fb7ce5431a6984
19	71/7155b3	50	REPORT	REPORT	-	COMPLETED	0	1789252264985	1789252269814	1789252269817	4832	3441	40.5	77422592	1	1073741824	300000	1	/scratch/scale-256-work/71/7155b36ab57191aef9f7473814c35c
